Lista towarów
Id	Nazwa	Na kasie	Kod	Mar¿a rz.	Cena ew.	Cena det.	Cena hurt.	Cena noc.	VAT %	Iloœæ	Asortyment
2037	Sok malina Alter Medica 500ml	Sok malina Alt Med	5907530440656	36,42	18,78	26,90	26,90	26,90	5 %	2,000	Soki
193	Sok morwa bia³a EM 500 EkaMed	Sok morwa bia³a EM	5902596671679	32,28	18,99	30,90	30,90	30,90	23 %	1,000	Soki
205	Sok Noni Medicura Bio 330	Sok Non Med	4035129005007	35,80	17,18	24,50	24,50	24,50	5 %	2,000	Soki
6612	Sok ostropest 500ml AM	Sok ostrop 500 AM	5907530440922	49,81	10,80	19,90	19,90	19,90	23 %	3,000	Soki
6037	Sok pigwowiec 270ml Bio DN	Sok pigw 270 Bio	5902741008527	51,08	7,44	11,80	11,80	11,80	5 %	1,000	Soki
225	Sok pokrzywa 1l EkaMed	Sok pokrzywa EM 1l	5902596671945	52,66	23,91	44,90	44,90	44,90	23 %	5,000	Soki
226	Sok pokrzywa AM 500 Alter m	Sok pokrzywa AM	5907530440489	36,87	11,58	19,50	19,50	19,50	23 %	4,000	Soki
4792	Sok pokrzywa BIO 250ml DN	Sok pok BIO 250 DN	5903246860160	39,36	7,24	10,90	10,90	10,90	8 %	3,000	Soki
212	Sok rokitnik Ol 490	Sok rokitnik Ol	5907559279275	39,33	19,07	27,90	27,90	27,90	5 %	7,000	Soki
6772	Sok œliwka 750ml Naturavena	Sok œliwk 750 N	5906750252308	35,30	12,18	17,30	17,30	17,30	5 %	0,000	Soki
6651	Sok œliwkowy BIO 500ml BP	Sok œliwk BIO	5907738156274	36,47	8,72	12,50	12,50	12,50	5 %	3,000	Soki
6956	Sok z jezyn BIO 330ml BATOM	Sok jez BIO 330	5907709955318	41,19	12,48	18,50	18,50	18,50	5 %	5,000	Soki
6426	Sok z mniszka 250ml EKO DN	Sok z mnisz 250	5903246860146	41,08	6,50	9,90	9,90	9,90	8 %	2,000	Soki
6765	Sok z wisni 750ml BIO Kamionna	Sok z wis 750 BIO	5905504066765	37,41	12,75	18,40	18,40	18,40	5 %	3,000	Soki
6601	Sok z wisni 750ml NATURAVENA	Sok wiœnia 750	5906750252315	38,21	8,61	12,50	12,50	12,50	5 %	3,000	Soki
6558	Sok zurawina BIO ss 500 Viands	Sok zur BIO ss	5906961181435	42,05	13,34	19,90	19,90	19,90	5 %	1,000	Soki
228	Sok zurawina EM  500	Sok zurawina AM 5	5902596671051	40,85	20,22	29,90	29,90	29,90	5 %	0,000	Soki
229	Sok zurawina EM 1l	Sok zurawina EM 1l	5902596671044	33,06	31,49	44,00	44,00	44,00	5 %	0,000	Soki
5043	Sok zurawina Oleofarm 490ml BIO	Sok zurawin 490 BIO	5904960013368	43,02	22,64	34,00	34,00	34,00	5 %	1,000	Soki
183	Sok zurawina SS 250 Viands	SS zurawina 250	5906961180391	34,51	7,36	10,40	10,40	10,40	5 %	3,000	Soki
231	Sok zurawina ss 500 Viands	Sok zurawina ss 500	5906961181084	47,39	11,50	17,80	17,80	17,80	5 %	18,000	Soki
182	SS sok czarny bez 250	SS czarny bez	5906961180384	37,97	6,90	10,00	10,00	10,00	5 %	4,000	Soki
184	SS winogron 250	SS winogron	5906961181060	50,00	3,68	5,80	5,80	5,80	5 %	8,000	Soki
181	SS wisnia 250 Viands	SS wiœnia 250	5906961180704	45,00	4,60	7,00	7,00	7,50	5 %	32,000	Soki
629	Syrop agawy BP 330	Syr agawy BP 33	5907814668424	35,79	10,84	15,90	15,90	15,90	8 %	1,000	Soki
630	Syrop agawy BP 660	Syr agawy BP 66	5907814660329	58,47	16,30	27,90	27,90	27,90	8 %	0,000	Soki
4087	Syrop czarny bez 500ml Polska Roza	Syrop czar bez PR	5902768174120	36,33	13,13	18,80	18,80	18,80	5 %	1,000	Soki
6122	Syrop imbir Herbapol 420ml	Syr imb Her 420ml	5903850017851	34,35	6,55	9,50	9,50	9,50	8 %	0,000	Soki
4081	Syrop malinowy 250ml Oleofarm	Syrop malin 250ml Ol	5904960012491	38,42	13,69	19,90	19,90	19,90	5 %	3,000	Soki
6393	Syrop malinowy 330 Batom	Syrop malinowy bt	5907709950863	35,23	14,79	21,00	21,00	21,00	5 %	0,000	Soki
1840	Syrop malinowy Polska Roza 500ml DARY	Syrop mal Pol Róz	5902768174090	35,09	14,59	20,70	20,70	20,70	5 %	4,000	Soki
6822	Syrop na miodze malinowy 250ml Oleofarm	Syr miod mal 250	5904960010701	36,28	16,65	24,50	24,50	24,50	8 %	4,000	Soki
4139	Syrop paczki sosny 270ml DARY	Syr pacz sosny 270ml DN	5902741008503	38,64	7,97	11,60	11,60	11,60	5 %	4,000	Soki
6589	Wafelki czekol bc 3*21gTirma	Wafelki czekol bc	8410085422765	34,63	4,88	6,90	6,90	6,90	5 %	3,000	Soki
1070	Wielka pieniawa 1,5l	Wielka pieniawa 1,5l	5900985011532	38,11	2,65	4,50	4,50	4,50	23 %	0,000	Soki
180	Witamina C PR 250ml sok roza	Witamina C PR 250	5902768174267	55,09	7,86	12,80	12,80	12,80	5 %	5,000	Soki
1073	Woda Jan 1,5	Woda Jan 1,5	5901115000020	32,87	5,08	8,30	8,30	8,30	23 %	7,000	Soki
3302	Woda Java1,5l	Woda Java1,5l	5907784827098	32,12	5,48	8,90	8,90	8,90	23 %	6,000	Soki
3059	Woda kokosowa Cocomi 1l	Woda kokos Cocm 1l	4792038504044	38,79	10,70	15,59	15,59	15,59	5 %	0,000	Soki
3060	Woda kokosowa Cocomi 330ml	Wod kok Coc 330ml	4792038504006	46,68	4,22	6,50	6,50	6,50	5 %	0,000	Soki
179	Zyworodka 250	Zyworodka 250	5902596671372	30,63	17,99	28,90	28,90	28,90	23 %	3,000	Soki
											
